,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL
3017643016,42,10,4,acetaminophen,APAP,00001,Repeat,Gavage,8 day,300,mg/kg,Low
3017643017,42,10,5,acetaminophen,APAP,00001,Repeat,Gavage,8 day,300,mg/kg,Low
3017643027,42,11,1,acetaminophen,APAP,00001,Repeat,Gavage,15 day,300,mg/kg,Low
3017643028,42,11,4,acetaminophen,APAP,00001,Repeat,Gavage,15 day,300,mg/kg,Low
3017643029,42,11,5,acetaminophen,APAP,00001,Repeat,Gavage,15 day,300,mg/kg,Low
3017644009,42,12,2,acetaminophen,APAP,00001,Repeat,Gavage,29 day,300,mg/kg,Low
3017644010,42,12,3,acetaminophen,APAP,00001,Repeat,Gavage,29 day,300,mg/kg,Low
3017644011,42,12,5,acetaminophen,APAP,00001,Repeat,Gavage,29 day,300,mg/kg,Low
3017643006,42,13,3,acetaminophen,APAP,00001,Repeat,Gavage,4 day,600,mg/kg,Middle
3017643007,42,13,4,acetaminophen,APAP,00001,Repeat,Gavage,4 day,600,mg/kg,Middle
3017643008,42,13,5,acetaminophen,APAP,00001,Repeat,Gavage,4 day,600,mg/kg,Middle
3017643018,42,14,2,acetaminophen,APAP,00001,Repeat,Gavage,8 day,600,mg/kg,Middle
3017643019,42,14,3,acetaminophen,APAP,00001,Repeat,Gavage,8 day,600,mg/kg,Middle
3017643020,42,14,5,acetaminophen,APAP,00001,Repeat,Gavage,8 day,600,mg/kg,Middle
3017643030,42,15,1,acetaminophen,APAP,00001,Repeat,Gavage,15 day,600,mg/kg,Middle
3017644001,42,15,3,acetaminophen,APAP,00001,Repeat,Gavage,15 day,600,mg/kg,Middle
3017644002,42,15,4,acetaminophen,APAP,00001,Repeat,Gavage,15 day,600,mg/kg,Middle
3017644012,42,16,1,acetaminophen,APAP,00001,Repeat,Gavage,29 day,600,mg/kg,Middle
3017644013,42,16,4,acetaminophen,APAP,00001,Repeat,Gavage,29 day,600,mg/kg,Middle
3017644014,42,16,5,acetaminophen,APAP,00001,Repeat,Gavage,29 day,600,mg/kg,Middle
3017643009,42,17,1,acetaminophen,APAP,00001,Repeat,Gavage,4 day,1000,mg/kg,High
3017643010,42,17,2,acetaminophen,APAP,00001,Repeat,Gavage,4 day,1000,mg/kg,High
3017643011,42,17,4,acetaminophen,APAP,00001,Repeat,Gavage,4 day,1000,mg/kg,High
3017643021,42,18,3,acetaminophen,APAP,00001,Repeat,Gavage,8 day,1000,mg/kg,High
3017643022,42,18,4,acetaminophen,APAP,00001,Repeat,Gavage,8 day,1000,mg/kg,High
3017655025,42,18,5,acetaminophen,APAP,00001,Repeat,Gavage,8 day,1000,mg/kg,High
3017644003,42,19,2,acetaminophen,APAP,00001,Repeat,Gavage,15 day,1000,mg/kg,High
3017644004,42,19,3,acetaminophen,APAP,00001,Repeat,Gavage,15 day,1000,mg/kg,High
3017644005,42,19,5,acetaminophen,APAP,00001,Repeat,Gavage,15 day,1000,mg/kg,High
3017644015,42,20,1,acetaminophen,APAP,00001,Repeat,Gavage,29 day,1000,mg/kg,High
3017644016,42,20,2,acetaminophen,APAP,00001,Repeat,Gavage,29 day,1000,mg/kg,High
3017644017,42,20,4,acetaminophen,APAP,00001,Repeat,Gavage,29 day,1000,mg/kg,High
3017652018,61,1,2,isoniazid,INAH,00002,Repeat,Gavage,4 day,0,mg/kg,Control
3017652019,61,1,4,isoniazid,INAH,00002,Repeat,Gavage,4 day,0,mg/kg,Control
3017652020,61,1,5,isoniazid,INAH,00002,Repeat,Gavage,4 day,0,mg/kg,Control
3017652030,61,2,1,isoniazid,INAH,00002,Repeat,Gavage,8 day,0,mg/kg,Control
3017653001,61,2,3,isoniazid,INAH,00002,Repeat,Gavage,8 day,0,mg/kg,Control
3017653002,61,2,5,isoniazid,INAH,00002,Repeat,Gavage,8 day,0,mg/kg,Control
3017660024,61,3,2,isoniazid,INAH,00002,Repeat,Gavage,15 day,0,mg/kg,Control
3017660025,61,3,3,isoniazid,INAH,00002,Repeat,Gavage,15 day,0,mg/kg,Control
3017660026,61,3,5,isoniazid,INAH,00002,Repeat,Gavage,15 day,0,mg/kg,Control
3017661006,61,4,1,isoniazid,INAH,00002,Repeat,Gavage,29 day,0,mg/kg,Control
3017661007,61,4,3,isoniazid,INAH,00002,Repeat,Gavage,29 day,0,mg/kg,Control
3017661008,61,4,5,isoniazid,INAH,00002,Repeat,Gavage,29 day,0,mg/kg,Control
3017652021,61,9,1,isoniazid,INAH,00002,Repeat,Gavage,4 day,50,mg/kg,Low
3017652022,61,9,2,isoniazid,INAH,00002,Repeat,Gavage,4 day,50,mg/kg,Low
3017652023,61,9,4,isoniazid,INAH,00002,Repeat,Gavage,4 day,50,mg/kg,Low
3017653003,61,10,1,isoniazid,INAH,00002,Repeat,Gavage,8 day,50,mg/kg,Low
3017653004,61,10,2,isoniazid,INAH,00002,Repeat,Gavage,8 day,50,mg/kg,Low
3017653005,61,10,5,isoniazid,INAH,00002,Repeat,Gavage,8 day,50,mg/kg,Low
3017660027,61,11,1,isoniazid,INAH,00002,Repeat,Gavage,15 day,50,mg/kg,Low
3017660028,61,11,2,isoniazid,INAH,00002,Repeat,Gavage,15 day,50,mg/kg,Low
3017660029,61,11,4,isoniazid,INAH,00002,Repeat,Gavage,15 day,50,mg/kg,Low
3017661009,61,12,1,isoniazid,INAH,00002,Repeat,Gavage,29 day,50,mg/kg,Low
3017661010,61,12,2,isoniazid,INAH,00002,Repeat,Gavage,29 day,50,mg/kg,Low
3017661011,61,12,4,isoniazid,INAH,00002,Repeat,Gavage,29 day,50,mg/kg,Low
3017652024,61,13,2,isoniazid,INAH,00002,Repeat,Gavage,4 day,100,mg/kg,Middle
3017652025,61,13,4,isoniazid,INAH,00002,Repeat,Gavage,4 day,100,mg/kg,Middle
3017652026,61,13,5,isoniazid,INAH,00002,Repeat,Gavage,4 day,100,mg/kg,Middle
3017653006,61,14,3,isoniazid,INAH,00002,Repeat,Gavage,8 day,100,mg/kg,Middle
3017653007,61,14,4,isoniazid,INAH,00002,Repeat,Gavage,8 day,100,mg/kg,Middle
3017653008,61,14,5,isoniazid,INAH,00002,Repeat,Gavage,8 day,100,mg/kg,Middle
3017660030,61,15,1,isoniazid,INAH,00002,Repeat,Gavage,15 day,100,mg/kg,Middle
3017661001,61,15,2,isoniazid,INAH,00002,Repeat,Gavage,15 day,100,mg/kg,Middle
3017661002,61,15,4,isoniazid,INAH,00002,Repeat,Gavage,15 day,100,mg/kg,Middle
3017661012,61,16,1,isoniazid,INAH,00002,Repeat,Gavage,29 day,100,mg/kg,Middle
3017661013,61,16,2,isoniazid,INAH,00002,Repeat,Gavage,29 day,100,mg/kg,Middle
3017661014,61,16,5,isoniazid,INAH,00002,Repeat,Gavage,29 day,100,mg/kg,Middle
3017652027,61,17,3,isoniazid,INAH,00002,Repeat,Gavage,4 day,200,mg/kg,High
3017652028,61,17,4,isoniazid,INAH,00002,Repeat,Gavage,4 day,200,mg/kg,High
3017652029,61,17,5,isoniazid,INAH,00002,Repeat,Gavage,4 day,200,mg/kg,High
3017653009,61,18,1,isoniazid,INAH,00002,Repeat,Gavage,8 day,200,mg/kg,High
3017653010,61,18,2,isoniazid,INAH,00002,Repeat,Gavage,8 day,200,mg/kg,High
3017653011,61,18,4,isoniazid,INAH,00002,Repeat,Gavage,8 day,200,mg/kg,High
3017661003,61,19,1,isoniazid,INAH,00002,Repeat,Gavage,15 day,200,mg/kg,High
3017661004,61,19,4,isoniazid,INAH,00002,Repeat,Gavage,15 day,200,mg/kg,High
3017661005,61,19,5,isoniazid,INAH,00002,Repeat,Gavage,15 day,200,mg/kg,High
3017661015,61,20,2,isoniazid,INAH,00002,Repeat,Gavage,29 day,200,mg/kg,High
3017661016,61,20,4,isoniazid,INAH,00002,Repeat,Gavage,29 day,200,mg/kg,High
3017661017,61,20,5,isoniazid,INAH,00002,Repeat,Gavage,29 day,200,mg/kg,High
3017661018,66,1,1,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,0,mg/kg,Control
3017661019,66,1,2,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,0,mg/kg,Control
3017661020,66,1,3,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,0,mg/kg,Control
3017661030,66,2,1,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,0,mg/kg,Control
3017662001,66,2,2,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,0,mg/kg,Control
3017662002,66,2,3,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,0,mg/kg,Control
3017662012,66,3,1,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,0,mg/kg,Control
3017662013,66,3,3,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,0,mg/kg,Control
3017662014,66,3,5,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,0,mg/kg,Control
3017662024,66,4,1,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,0,mg/kg,Control
3017662025,66,4,3,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,0,mg/kg,Control
3017662026,66,4,5,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,0,mg/kg,Control
3017661021,66,11,1,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,30,mg/kg,Low
3017661022,66,11,3,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,30,mg/kg,Low
3017661023,66,11,4,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,30,mg/kg,Low
3017662003,66,12,1,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,30,mg/kg,Low
3017662004,66,12,2,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,30,mg/kg,Low
3017662005,66,12,3,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,30,mg/kg,Low
3017662015,66,13,2,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,30,mg/kg,Low
3017662016,66,13,4,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,30,mg/kg,Low
3017662017,66,13,5,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,30,mg/kg,Low
3017662027,66,14,2,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,30,mg/kg,Low
3017662028,66,14,3,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,30,mg/kg,Low
3017662029,66,14,5,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,30,mg/kg,Low
3017661024,66,16,2,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,100,mg/kg,Middle
3017661025,66,16,4,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,100,mg/kg,Middle
3017661026,66,16,5,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,100,mg/kg,Middle
3017662006,66,17,2,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,100,mg/kg,Middle
3017662007,66,17,3,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,100,mg/kg,Middle
3017662008,66,17,5,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,100,mg/kg,Middle
3017662018,66,18,1,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,100,mg/kg,Middle
3017662019,66,18,2,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,100,mg/kg,Middle
3017662020,66,18,4,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,100,mg/kg,Middle
3017662030,66,19,2,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,100,mg/kg,Middle
3017663001,66,19,4,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,100,mg/kg,Middle
3017663002,66,19,5,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,100,mg/kg,Middle
3017661027,66,21,3,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,300,mg/kg,High
3017661028,66,21,4,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,300,mg/kg,High
3017661029,66,21,5,carbon tetrachloride,CCL4,00003,Single,Gavage,3 hr,300,mg/kg,High
3017662009,66,22,1,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,300,mg/kg,High
3017662010,66,22,2,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,300,mg/kg,High
3017662011,66,22,5,carbon tetrachloride,CCL4,00003,Single,Gavage,6 hr,300,mg/kg,High
3017662021,66,23,3,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,300,mg/kg,High
3017662022,66,23,4,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,300,mg/kg,High
3017662023,66,23,5,carbon tetrachloride,CCL4,00003,Single,Gavage,9 hr,300,mg/kg,High
3017663003,66,24,1,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,300,mg/kg,High
3017663004,66,24,2,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,300,mg/kg,High
3017663005,66,24,3,carbon tetrachloride,CCL4,00003,Single,Gavage,24 hr,300,mg/kg,High
3017670011,67,1,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,0,mg/kg,Control
3017670012,67,1,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,0,mg/kg,Control
3017670013,67,1,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,0,mg/kg,Control
3017670023,67,2,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,0,mg/kg,Control
3017670024,67,2,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,0,mg/kg,Control
3017670025,67,2,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,0,mg/kg,Control
3017671029,67,3,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,0,mg/kg,Control
3017671030,67,3,3,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,0,mg/kg,Control
3017672001,67,3,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,0,mg/kg,Control
3017672011,67,4,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,0,mg/kg,Control
3017672012,67,4,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,0,mg/kg,Control
3017672013,67,4,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,0,mg/kg,Control
3017670014,67,9,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,30,mg/kg,Low
3017670015,67,9,3,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,30,mg/kg,Low
3017670016,67,9,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,30,mg/kg,Low
3017670026,67,10,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,30,mg/kg,Low
3017670027,67,10,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,30,mg/kg,Low
3017670028,67,10,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,30,mg/kg,Low
3017672002,67,11,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,30,mg/kg,Low
3017672003,67,11,3,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,30,mg/kg,Low
3017672004,67,11,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,30,mg/kg,Low
3017672014,67,12,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,30,mg/kg,Low
3017672015,67,12,3,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,30,mg/kg,Low
3017672016,67,12,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,30,mg/kg,Low
3017670017,67,13,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,100,mg/kg,Middle
3017670018,67,13,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,100,mg/kg,Middle
3017670019,67,13,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,100,mg/kg,Middle
3017670029,67,14,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,100,mg/kg,Middle
3017670030,67,14,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,100,mg/kg,Middle
3017671001,67,14,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,100,mg/kg,Middle
3017672005,67,15,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,100,mg/kg,Middle
3017672006,67,15,3,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,100,mg/kg,Middle
3017672007,67,15,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,100,mg/kg,Middle
3017672017,67,16,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,100,mg/kg,Middle
3017672018,67,16,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,100,mg/kg,Middle
3017672019,67,16,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,100,mg/kg,Middle
3017670020,67,17,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,300,mg/kg,High
3017670021,67,17,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,300,mg/kg,High
3017670022,67,17,5,carbon tetrachloride,CCL4,00003,Repeat,Gavage,4 day,300,mg/kg,High
3017671002,67,18,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,300,mg/kg,High
3017671003,67,18,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,300,mg/kg,High
3017671004,67,18,3,carbon tetrachloride,CCL4,00003,Repeat,Gavage,8 day,300,mg/kg,High
3017672008,67,19,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,300,mg/kg,High
3017672009,67,19,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,300,mg/kg,High
3017672010,67,19,4,carbon tetrachloride,CCL4,00003,Repeat,Gavage,15 day,300,mg/kg,High
3017672020,67,20,1,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,300,mg/kg,High
3017672021,67,20,2,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,300,mg/kg,High
3017672022,67,20,3,carbon tetrachloride,CCL4,00003,Repeat,Gavage,29 day,300,mg/kg,High
3017651024,90,1,3,valproic acid,VPA,00005,Single,Gavage,3 hr,0,mg/kg,Control
3017651025,90,1,4,valproic acid,VPA,00005,Single,Gavage,3 hr,0,mg/kg,Control
3017651026,90,1,5,valproic acid,VPA,00005,Single,Gavage,3 hr,0,mg/kg,Control
3017652006,90,2,2,valproic acid,VPA,00005,Single,Gavage,6 hr,0,mg/kg,Control
3017652007,90,2,3,valproic acid,VPA,00005,Single,Gavage,6 hr,0,mg/kg,Control
3017652008,90,2,4,valproic acid,VPA,00005,Single,Gavage,6 hr,0,mg/kg,Control
3017650006,90,3,1,valproic acid,VPA,00005,Single,Gavage,9 hr,0,mg/kg,Control
3017650007,90,3,2,valproic acid,VPA,00005,Single,Gavage,9 hr,0,mg/kg,Control
3017650008,90,3,5,valproic acid,VPA,00005,Single,Gavage,9 hr,0,mg/kg,Control
3017650018,90,4,2,valproic acid,VPA,00005,Single,Gavage,24 hr,0,mg/kg,Control
3017650019,90,4,3,valproic acid,VPA,00005,Single,Gavage,24 hr,0,mg/kg,Control
3017650020,90,4,4,valproic acid,VPA,00005,Single,Gavage,24 hr,0,mg/kg,Control
3017651027,90,5,1,valproic acid,VPA,00005,Single,Gavage,3 hr,45,mg/kg,Low
3017651028,90,5,3,valproic acid,VPA,00005,Single,Gavage,3 hr,45,mg/kg,Low
3017651029,90,5,5,valproic acid,VPA,00005,Single,Gavage,3 hr,45,mg/kg,Low
3017652009,90,6,1,valproic acid,VPA,00005,Single,Gavage,6 hr,45,mg/kg,Low
3017652010,90,6,4,valproic acid,VPA,00005,Single,Gavage,6 hr,45,mg/kg,Low
3017652011,90,6,5,valproic acid,VPA,00005,Single,Gavage,6 hr,45,mg/kg,Low
3017650009,90,7,2,valproic acid,VPA,00005,Single,Gavage,9 hr,45,mg/kg,Low
3017650010,90,7,4,valproic acid,VPA,00005,Single,Gavage,9 hr,45,mg/kg,Low
3017650011,90,7,5,valproic acid,VPA,00005,Single,Gavage,9 hr,45,mg/kg,Low
3017650021,90,8,2,valproic acid,VPA,00005,Single,Gavage,24 hr,45,mg/kg,Low
3017650022,90,8,3,valproic acid,VPA,00005,Single,Gavage,24 hr,45,mg/kg,Low
3017650023,90,8,4,valproic acid,VPA,00005,Single,Gavage,24 hr,45,mg/kg,Low
3017651030,90,9,1,valproic acid,VPA,00005,Single,Gavage,3 hr,150,mg/kg,Middle
3017652001,90,9,2,valproic acid,VPA,00005,Single,Gavage,3 hr,150,mg/kg,Middle
3017652002,90,9,4,valproic acid,VPA,00005,Single,Gavage,3 hr,150,mg/kg,Middle
3017652012,90,10,3,valproic acid,VPA,00005,Single,Gavage,6 hr,150,mg/kg,Middle
3017652013,90,10,4,valproic acid,VPA,00005,Single,Gavage,6 hr,150,mg/kg,Middle
3017652014,90,10,5,valproic acid,VPA,00005,Single,Gavage,6 hr,150,mg/kg,Middle
